textbox12,UnitName,textbox18,EventTime,GeofenceName,GeofenceEvent1,Schedule
Group: ,Unit:VBK301,,13/08/2024 6:46:21 a.m.,PEAJE CIAT ,IN,
Group: ,Unit:VBK301,,13/08/2024 6:47:21 a.m.,PEAJE CIAT ,OUT,
Group: ,Unit:VBK301,,14/08/2024 5:53:34 a.m.,peaje de villarica ,IN,
Group: ,Unit:VBK301,,14/08/2024 6:01:34 a.m.,peaje de villarica ,OUT,
Group: ,Unit:VBK301,,14/08/2024 6:13:35 a.m.,paso calle 20 Santander sin pago finca ,IN,
Group: ,Unit:VBK301,,14/08/2024 6:14:22 a.m.,paso calle 20 Santander sin pago finca ,OUT,
Group: ,Unit:VBK301,,14/08/2024 6:22:05 a.m.,QuimiCauca,IN,
Group: ,Unit:VBK301,,14/08/2024 10:42:45 a.m.,QuimiCauca,OUT,
Group: ,Unit:VBK301,,14/08/2024 10:52:45 a.m.,paso calle 20 Santander sin pago finca ,IN,
Group: ,Unit:VBK301,,14/08/2024 10:53:02 a.m.,paso calle 20 Santander sin pago finca ,OUT,
Group: ,Unit:VBK301,,14/08/2024 11:06:40 a.m.,peaje de villarica ,IN,
Group: ,Unit:VBK301,,14/08/2024 11:08:40 a.m.,peaje de villarica ,OUT,
Group: ,Unit:VBK301,,14/08/2024 12:04:43 p.m.,PEAJE CIAT ,IN,
Group: ,Unit:VBK301,,14/08/2024 12:05:43 p.m.,PEAJE CIAT ,OUT,
Group: ,Unit:VBK301,,15/08/2024 11:55:00 a.m.,peaje de villarica ,IN,
Group: ,Unit:VBK301,,15/08/2024 11:56:00 a.m.,peaje de villarica ,OUT,
Group: ,Unit:VBK301,,15/08/2024 12:23:31 p.m.,QuimiCauca,IN,
Group: ,Unit:VBK301,,16/08/2024 8:24:30 a.m.,QuimiCauca,OUT,
Group: ,Unit:VBK301,,16/08/2024 8:32:25 a.m.,paso calle 20 Santander sin pago finca ,IN,
Group: ,Unit:VBK301,,16/08/2024 8:33:52 a.m.,paso calle 20 Santander sin pago finca ,OUT,
Group: ,Unit:VBK301,,16/08/2024 9:33:32 a.m.,PEAJE CIAT ,IN,
Group: ,Unit:VBK301,,16/08/2024 9:35:32 a.m.,PEAJE CIAT ,OUT,
Group: ,Unit:VBK301,,16/08/2024 3:37:56 p.m.,Parq Cencar,IN,
Group: ,Unit:VBK301,,16/08/2024 3:39:43 p.m.,Parq Cencar,OUT,
Group: ,Unit:VBK301,,16/08/2024 3:48:33 p.m.,perimetro urbano,IN,
Group: ,Unit:VBK301,,16/08/2024 3:50:33 p.m.,Geo Parq. TLQ,IN,
Group: ,Unit:VBK301,,16/08/2024 3:51:44 p.m.,Parqueadero Yumbo 2011,IN,
Group: ,Unit:VBK301,,16/08/2024 5:03:34 p.m.,Parqueadero Yumbo 2011,OUT,
